project,serial_number,block,plot,
stipa-avena,95257162,1,5,control
stipa-avena,95257163,2,4,control
stipa-avena,95257164,4,8,control
stipa-avena,95257165,5,6,control
stipa-avena,95257166,6,7,control
stipa-avena,95257167,7,8,control
stipa-avena,95257168,8,4,control
stipa-avena,95257169,10,7,control
stipa-avena,95257170,10,6,a_high
stipa-avena,95257171,11,8,a_high
stipa-avena,95257172,10,5,sp_high
stipa-avena,95257173,11,5,sp_high
stipa-avena,95257174,11,3,control
stipa-avena,95257175,12,7,control
stipa-avena,95257176,15,7,sp_high
stipa-avena,95257177,14,1,sp_high
stipa-avena,95257178,13,4,control
stipa-avena,95257179,14,7,control
stipa-avena,95257180,14,5,a_high
stipa-avena,95257181,1,9,sp_high
stipa-avena,95257182,15,6,a_high
stipa-avena,95257183,15,5,control
stipa-avena,95257184,16,8,control
