block,plot,bg,sub1.plants,sub1.seeds.1,sub1.im.1,sub1.seeds.2,sub1.im.2,sub1.seeds.3,sub1.im.3,sub1.seeds.4,sub1.im.4,sub1.seeds.5,sub1.im.5,sub1.im.tillers,sub2.plants,sub2.seeds.1,sub2.im.1,sub2.seeds.2,sub2.im.2,sub2.seeds.3,sub2.im.3,sub2.seeds.4,sub2.im.4,sub2.seeds.5,sub2.im.5,sub2.im.tillers,full.plants,full.seeds.1,full.im.1,full.seeds.2,full.im.2,full.seeds.3,full.im.3,full.seeds.4,full.im.4,full.seeds.5,full.im.5,full.im.tillers
1,1,S_P low,0,,,,,,,,,,,,0,,,,,,,,,,,,5,16,,30,,25,,92,,50,,
1,2,control,0,,,,,,,,,,,,0,,,,,,,,,,,,8,31,,27,,117,,40,,21,,
1,3,A low,4,10,,27,,19,,51,,,,,2,36,,139,,,,,,,,,,,,,,,,,,,,
1,4,S_s low,0,,,,,,,,,,,,2,19,,55,,,,,,,,,1,41,,,,,,,,,,
1,5,control,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,S_P high,0,,,,,,,,,,,,1,40,47,,,,,,,,,,,,,,,,,,,,,
1,7,S_s high,1,62,1,,,,,,,,,,0,,,,,,,,,,,,8,18,,17,,21,,32,,26,,
1,8,A high,7,10,,0,1,13,,0,1,17,,,7,16,,17,,0,1,14,,12,,1,,,,,,,,,,,,
1,9,S_P high,0,,,,,,,,,,,,0,,,,,,,,,,,,9,0,,5,,15,,6,,46,,
1,10,S_P high,3,28,,30,,17,,,,,,,1,68,1,,,,,,,,,,,,,,,,,,,,,
1,11,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,S_s low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,A low,5,9,,5,,8,,7,,0,,,5,2,,0,,3,,2,,2,,,,,,,,,,,,,,
2,2,S_s high,1,8,1,,,,,,,,,,4,8,,4,,5,,9,,,,,,,,,,,,,,,,
2,3,control,2,0,,,,,,,,,,,0,,,,,,,,,,,,2,0,1,6,,,,,,,,
2,4,control,0,,,,,,,,,,,,4,21,,44,,21,,11,,,,,,,,,,,,,,,,
2,5,S_P high,2,10,,13,1,,,,,,,,2,56,,23,,,,,,,,,,,,,,,,,,,,
2,6,A high,18,11,,11,,3,,5,,5,,,11,3,,4,,4,,3,,2,,,,,,,,,,,,,,
2,7,S_P low,0,,,,,,,,,,,,5,7,,10,,5,,11,,3,,,,,,,,,,,,,,
2,8,S_s low,2,8,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
