block,plot,bg,location,plants,seeds,im tillers,diseased,notes
1,1,S_Plow,sub1,2,0,,,
1,1,S_Plow,sub1,2,0,,,
1,1,S_Plow,sub2,0,,,,
1,1,S_Plow,full,3,2,,,
1,1,S_Plow,full,,7,,,
1,1,S_Plow,full,,9,,,
1,2,control,sub1,1,3,,,
1,2,control,sub2,4,0,,,
1,2,control,sub2,,0,,,
1,2,control,sub2,,6,,,
1,2,control,sub2,,7,,,
1,3,A_low,sub1,2,7,,,
1,3,A_low,sub1,,3,,,
1,3,A_low,sub2,1,2,,,
1,3,A_low,full,3,0,,,
1,3,A_low,full,3,4,,,
1,5,control,sub1,0,,,,
1,5,control,sub2,0,,,,
1,5,control,full,2,0,1,,
1,5,control,full,,0,1,,
1,6,S_Phigh,sub1,0,,,,
1,6,S_Phigh,sub2,0,,,,
1,6,S_Phigh,full,0,,,,
1,8,A_high,sub1,0,,,,
1,8,A_high,sub2,2,0,,,
1,8,A_high,sub2,,11,,,
1,8,A_high,full,4,7,,,
1,8,A_high,full,,0,,,
1,8,A_high,full,,29,,,
1,9,S_Phigh,sub1,0,,,,
1,9,S_Phigh,sub2,0,,,,
1,9,S_Phigh,full,2,0,2,,
1,9,S_Phigh,full,,15,1,,
1,10,S_Phigh,sub1,0,,,,
1,10,S_Phigh,sub2,0,,,,
1,10,S_Phigh,full,0,,,,
2,1,A_low,sub1,8,4,,,
2,1,A_low,sub1,,19,,,
2,1,A_low,sub1,,17,,,
2,1,A_low,sub1,,5,,,
2,1,A_low,sub1,,15,,,
2,1,A_low,sub1,,17,,,
2,1,A_low,sub1,,9,,,
2,1,A_low,sub1,,1,,,
2,1,A_low,sub2,6,7,,,
2,1,A_low,sub2,,5,,,
2,1,A_low,sub2,,6,,,
2,1,A_low,sub2,,1,,,
2,1,A_low,sub2,,3,,,
2,1,A_low,sub2,,8,,,
2,3,control,sub1,3,8,,,
2,3,control,sub1,,68,,,
2,3,control,sub1,,55,1,,
2,3,control,sub2,0,,,,
2,3,control,full,19,9,,,
2,3,control,full,,23,,,
2,4,control,sub1,3,51,1,,
2,4,control,sub1,,10,,,
2,4,control,sub1,,13,,,
2,4,control,sub2,1,49,1,,
2,4,control,full,11,21,,,
2,5,S_Phigh,sub1,5,43,1,,"seeded side has missing SPs, none in seeded subplot"
2,5,S_Phigh,sub1,,43,,,
2,5,S_Phigh,sub1,,47,,,
2,5,S_Phigh,sub1,,34,,,
2,5,S_Phigh,sub1,,23,,,
2,5,S_Phigh,sub2,4,2,,,
2,5,S_Phigh,sub2,,1,,,
2,5,S_Phigh,sub2,,4,,,
2,5,S_Phigh,sub2,,17,,,
2,6,A_high,sub1,10,10,,,
2,6,A_high,sub1,,4,,,
2,6,A_high,sub1,,17,,,
2,6,A_high,sub1,,13,,,
2,6,A_high,sub1,,2,,,
2,6,A_high,sub1,,4,,,
2,6,A_high,sub1,,9,,,
2,6,A_high,sub1,,24,,,
2,6,A_high,sub1,,7,,,
2,6,A_high,sub1,,5,,,
2,6,A_high,sub2,5,14,,,
2,6,A_high,sub2,,8,,,
2,6,A_high,sub2,,2,,,
2,6,A_high,sub2,,6,,,
2,6,A_high,sub2,,8,,,
2,7,S_Plow,sub1,0,,,,
2,7,S_Plow,sub2,2,4,,,
2,7,S_Plow,sub2,,5,,,
2,7,S_Plow,full,13,9,,,
2,7,S_Plow,full,,3,,,
2,7,S_Plow,full,,5,,,
2,9,S_Phigh,sub1,4,6,,,
2,9,S_Phigh,sub1,,22,,,
2,9,S_Phigh,sub1,,10,,,
2,9,S_Phigh,sub1,,3,,,
2,9,S_Phigh,sub2,2,7,,,
2,9,S_Phigh,sub2,,13,,,
2,10,S_Phigh,sub1,1,6,,,
2,10,S_Phigh,sub2,0,,,,
2,10,S_Phigh,full,6,4,,,
2,10,S_Phigh,full,,5,,,
2,10,S_Phigh,full,,52,,,
2,10,S_Phigh,full,,6,,,
4,1,A_high,sub1,64,2,,,
4,1,A_high,sub1,,3,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,3,,,
4,1,A_high,sub1,,3,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,5,,,
4,1,A_high,sub1,,3,,,
4,1,A_high,sub1,,4,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,2,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,5,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,1,,,
4,1,A_high,sub1,,0,1,,
4,1,A_high,sub1,,5,,,
4,1,A_high,sub1,,4,,,
4,1,A_high,sub2,37,7,,,
4,1,A_high,sub2,,3,,,
4,1,A_high,sub2,,2,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,7,,,
4,1,A_high,sub2,,2,,,
4,1,A_high,sub2,,3,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,11,1,,
4,1,A_high,sub2,,8,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,4,,,
4,1,A_high,sub2,,,,1,
4,4,A_low,sub1,1,3,,,
4,4,A_low,sub2,8,3,1,,
4,4,A_low,sub2,,4,,,
4,4,A_low,sub2,,3,,,
4,4,A_low,sub2,,,,1,
4,4,A_low,sub2,,2,,,
4,4,A_low,sub2,,6,,,
4,4,A_low,sub2,,2,,,
4,4,A_low,sub2,,0,1,,
