block,plot,bg,av,ss,sp.phyto,weed.forb,weed.moss,weed.grass,sp.bg
1,1,S_P low,0,1,1,10,10,0,5
1,2,control,0,3,1,10,50,0,
1,3,A low,4,0,1,25,25,0,
1,4,S_s low,3,16,1,40,20,0,
1,5,control,0,1,1,50,10,0,
1,6,S_P high,0,0,1,15,0,0,12
1,7,S_s high,9,29,1,20,20,5,
1,8,A high,7,0,1,10,20,0,
2,1,A low,3,2,1,3,0,0,
2,2,S_s high,14,27,1,10,0,0,
2,3,control,1,1,1,10,0,0,
2,4,control,0,4,1,10,0,0,
2,5,S_P high,4,1,1,2,0,0,12
2,6,A high,30,1,1,2,0,0,
2,7,S_P low,3,0,1,0,0,0,5
2,8,S_s low,7,25,1,40,0,0,
3,1,control,0,1,1,5,0,0,
3,2,A high,28,0,1,5,0,0,
3,3,A low,18,0,1,5,0,0,
3,4,S_s high,6,45,1,2,0,5,
3,5,S_P high,0,0,1,2,0,0,12
3,6,S_s low,4,29,1,2,0,3,
3,7,S_P low,0,0,1,2,0,0,6
3,8,control,1,1,1,0,0,5,
4,1,A high,31,1,1,5,0,0,
4,2,S_s low,12,40,1,20,0,0,
4,3,S_s high,16,49,1,15,0,0,
4,4,A low,7,1,1,10,0,0,
4,5,S_P low,0,0,1,15,0,0,6
4,6,S_P high,1,0,1,10,0,0,12
4,7,control,2,4,1,5,0,0,
4,8,control,10,0,1,5,0,0,
5,1,S_s high,12,52,1,15,0,0,
5,2,A low,15,0,1,25,0,0,
5,3,S_P high,1,1,1,10,0,0,12
5,4,S_P low,6,3,1,10,0,0,6
5,5,S_s low,10,44,1,30,0,0,
5,6,control,7,0,1,40,0,10,
5,7,A high,20,2,1,30,0,0,
5,8,control,0,0,1,40,0,0,
6,1,A low,6,3,1,5,10,0,
6,2,A high,17,2,1,5,10,0,
6,3,S_s low,4,66,1,5,45,0,
6,4,control,1,0,1,5,10,0,
6,5,S_s high,8,78,1,10,0,0,
6,6,S_P low,1,0,1,5,0,0,6
6,7,control,1,1,1,5,0,10,
6,8,S_P high,2,1,1,0,0,0,12
7,1,S_P high,1,1,1,0,0,0,12
7,2,S_s high,9,83,1,5,0,0,
7,3,A high,17,3,1,2,0,0,
7,4,S_P low,2,2,1,3,0,2,5
7,5,S_s low,3,67,1,50,0,0,
7,6,control,0,1,1,15,0,0,
7,7,A low,13,1,1,20,0,0,
7,8,control,3,5,1,5,0,0,
8,1,control,1,4,1,20,0,0,
8,2,S_P high,0,1,1,10,0,0,12
8,3,A high,25,6,1,5,0,0,
8,4,control,4,5,1,15,0,0,
8,5,S_s low,12,54,1,10,0,0,
8,6,S_P low,1,1,1,10,0,0,6
8,7,S_s high,12,118,1,25,0,0,
8,8,A low,22,0,1,15,0,0,
9,1,A low,11,3,1,10,0,0,
9,2,S_s low,8,79,1,3,0,0,
9,3,A high,13,2,1,15,0,0,
9,4,control,1,6,1,2,0,0,
9,5,S_P high,0,1,1,2,0,1,12
9,6,S_P low,1,3,1,5,0,0,6
9,7,S_s high,14,109,1,15,0,0,
9,8,control,0,4,1,5,0,0,
10,1,S_s high,9,52,1,5,5,0,
10,2,S_s low,5,30,1,5,15,0,
10,3,control,2,0,1,5,10,0,
10,4,S_P low,0,1,1,5,5,0,6
10,5,S_P high,0,0,1,2,0,0,11
10,6,A high,17,0,1,2,10,0,
10,7,control,0,0,1,10,40,0,
10,8,A low,13,0,1,2,5,0,
11,1,control,2,2,1,5,5,0,
11,2,S_P low,2,1,1,5,0,0,6
11,3,control,1,3,1,10,0,0,
11,4,S_s low,4,33,1,10,2,2,
11,5,S_P high,0,1,1,0,0,5,12
11,6,S_s high,1,43,1,5,30,0,
11,7,A low,24,1,1,5,10,0,
11,8,A high,20,2,1,20,10,0,
12,1,control,4,6,1,20,0,0,
12,2,A high,46,0,1,10,0,0,
12,3,S_P high,1,0,1,2,0,0,12
12,4,S_P low,1,2,1,10,0,2,6
12,5,S_s low,11,89,1,2,0,0,
12,6,A low,28,1,1,5,0,0,
12,7,control,1,1,1,10,0,0,
12,8,S_s high,14,104,1,2,2,0,
13,1,S_s high,9,108,1,50,0,0,
13,2,control,3,2,1,40,0,0,
13,3,S_P low,4,1,1,25,0,0,6
13,4,control,2,3,1,30,0,0,
13,5,A low,19,1,1,10,0,0,
13,6,S_P high,1,0,1,15,5,0,12
13,7,A high,39,6,1,10,5,0,
13,8,S_s low,4,7,1,10,5,0,
14,1,S_P high,1,1,1,5,0,0,12
14,2,A low,8,2,1,10,0,0,
14,3,S_P low,0,1,1,5,0,0,6
14,4,S_s low,7,38,0,5,0,0,
14,5,A high,31,2,1,15,5,0,
14,6,control,4,3,1,10,0,0,
14,7,control,1,2,1,15,0,3,
14,8,S_s high,9,71,1,5,2,0,
15,1,control,3,2,1,10,0,2,
15,2,S_s low,5,70,1,20,0,0,
15,3,S_P low,5,1,1,10,0,0,6
15,4,A low,39,2,1,10,0,0,
15,5,control,7,0,1,10,0,0,
15,6,A high,71,2,1,10,0,0,
15,7,S_P high,2,0,1,2,0,0,12
15,8,S_s high,10,127,1,20,0,0,
16,1,S_s high,17,139,1,10,0,0,
16,2,control,3,2,1,15,0,0,
16,3,S_P high,0,2,1,2,0,0,12
16,4,S_P low,2,1,1,5,0,2,5
16,5,S_s low,4,81,1,20,0,0,
16,6,A high,33,3,1,20,0,0,
16,7,A low,25,1,1,15,0,0,
16,8,control,4,5,1,5,0,0,
