block,plot,bg,treatment,av,ss,sp.phyto,sp.tiller,sp.bigl.tiller,sp.bigr.tiller,aircar,amsmen,anaarv,avefat,bradis,branig,brimin,brodia,brohor,bromad,capbur,carpyc,casatt,cerglo,chesp,clapur,crasp,cynech,elycap,erobot,fesmic,fesmyu,galsp,giltri,horbra,hormur,hypgla,hyprad,lepnit,loggal,lolmul,madele,miccal,plaere,senvul,silgal,shearv,trihir,trisub,triwil,unkfb,milky_aster,light_fuzzy_fb,unkfb_erigeron,unkfb_diffuse,unkgrass_tiny_avena,gopher
1,1,S_P low,drought,1,0,1,3,22,,,,,1,,,,,,,,,,1,,,5,,,5,,,2,,,,,,,,,,,,7,,,1,1,,0.5,3,,,,,
1,2,control,drought,0,1,1,3,,,,,,,,,,,,,,,,5,,,25,,,7,,1,1,,,,1,0.5,,,,,,,,,,5,,,0.5,7,,,,,
1,3,A low,drought,3,0,1,18,,,,,,7,,,,,,,,,,15,,,15,,,10,,,,,,,5,0.5,,0.5,,,,,10,,,7,,,0.5,10,,,,,
1,4,S_s low,drought,0,8,1,0,,,,,,,1,,,,,,5,,,15,,,10,,,7,,8,1,,,,,,,10,,7,,,2,,,15,,,,5,,,,,
1,5,control,drought,0,0,1,1,,,,,,,,,,,,,20,,,40,,,20,,2,15,,2,1,,,,0.5,,,2,,,,1,,,,5,,,0.5,3,,,,,
1,6,S_P high,drought,0,0,1,4,11,13,,,,,,,,,,,,,,40,,,5,,,10,,,,2,,,1,,,3,,,,,,,,,,,,,,,,,
1,7,S_s high,drought,0,13,1,0,,,,,,,5,,,,,,,,,10,,,15,,5,15,,10,,,,,,,5,2,,,,,,,,5,,,0.5,,,,,,
1,8,A high,drought,6,0,1,0,,,,,,10,,,,,,,,,,5,,,15,,,10,,,,,,,,2,,1,,,,,5,,,,,,0.5,,0.5,,,,
2,1,A low,ambient,1,2,1,0,,,,,,1,0.5,,,,,,,,,,,,5,,,25,,5,,,,,5,,,,,,,,,,,5,,,,,,,,,
2,2,S_s high,ambient,0,17,1,6,,,,,,,1,,,,1,,,,,,,,,,,40,,5,,,,,,,,,,,,,,,,15,,,,,,,,,
2,3,control,ambient,2,3,0,,,,,,,2,,,,,,,,,,,,,2,,,10,,3,,,,,,,,,5,,,,,,,10,,,,,,,,,
2,4,control,ambient,0,3,0,,,,,,,,,,,,,,,,,,,,,,,25,,2,,,5,,5,,,,,,,,,,,10,,,,,,,,,
2,5,S_P high,ambient,1,0,1,0,21,9,,,,5,,,,,,,,,,0.5,,,,,,5,,,,,,,1,0.5,,,,,,,2,,,10,,,,,,,,,
2,6,A high,ambient,18,0,1,1,,,,,,40,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,
2,7,S_P low,ambient,1,1,1,0,1,,,,,3,0.5,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2,8,S_s low,ambient,0,14,1,0,,,,,,,,,,,,,,,,,,,,,,40,,5,,,,,1,,,,,,,,,,,5,,,0.5,,,,,,
