date,block,plot,bg,sp.type,ss.old,ss.tillers,ss.seeds.per.tiller,ss.new.seeded,ss.new.unseeded,weed.gram.perc,weed.forb.perc,notes
2024-04-29,1,1,S_P low,phyto,1,1,15,1,0,10,5,
2024-04-29,1,2,control,phyto,2,0,im,1,0,30,20,
2024-04-29,1,2,control,phyto,2,2,,,,,,
2024-04-29,1,3,A low,phyto,1,1,im,0,0,15,5,
2024-04-29,1,4,S_s low,phyto,3,1,17,unweeded,0,65,25,
2024-04-29,1,4,S_s low,phyto,3,3,,,,,,
2024-04-29,1,4,S_s low,phyto,3,2,,,,,,
2024-04-29,1,4,control,phyto,1,0,NA,,,,,
2024-04-29,1,5,control,phyto,1,0,,1,0,25,10,
2024-04-29,1,6,S_P high,phyto,0,,,4,0,5,5,
2024-04-29,1,7,S_s high,phyto,5,12,12,unweeded,,70,15,
2024-04-29,1,7,S_s high,phyto,5,0,,,,,,
2024-04-29,1,7,S_s high,phyto,5,2,,,,,,
2024-04-29,1,7,S_s high,phyto,5,1,,,,,,
2024-04-29,1,7,S_s high,phyto,5,1,,,,,,
2024-04-29,1,8,A high,phyto,0,NA,NA,5,0,50,15,
2024-04-29,1,9,S_P high,big,0,NA,NA,0,0,15,5,
2024-04-29,1,10,S_P high,big,1,0,NA,1,0,10,5,
2024-04-29,2,1,A low,phyto,0,,,0,0,0,40,
2024-04-29,2,2,S_s high,phyto,6,6,12,x,0,25,40,
2024-04-29,2,2,S_s high,phyto,6,11,,,,,,
2024-04-29,2,2,S_s high,phyto,6,1,,,,,,
2024-04-29,2,2,S_s high,phyto,6,4,,,,,,
2024-04-29,2,2,S_s high,phyto,6,10,,,,,,
2024-04-29,2,2,S_s high,phyto,6,2,,,,,,
2024-04-29,2,3,control,phyto,2,5,18,2,0,25,5,
2024-04-29,2,3,control,,2,3,,,,,,
2024-04-29,2,4,control,phyto,2,11,13,0,0,10,5,
2024-04-29,2,4,control,phyto,2,9,,,,,,
2024-04-29,2,5,S_P high,phyto,0,,,,,2,5, 
2024-04-29,2,6,A high,phyto,0,,,2,0,5,5,
2024-04-29,2,7,S_P low,phyto,0,,,3,1,10,5,
