block,plot,bg,Stipa  type,Stipa diam (cm),Stipa tillers,seeds/tiller,num ss with tillers,num tillers on ss,% weed gram ,% weed forb,notes
1,1,S_P low,phyto,9,33,35,,,10,10,
1,1,S_P low,big,25,90,30,,,,,
1,1,S_P low,med,7,25,14,,,,,
1,1,S_P low,med,8,24,27,,,,,
1,1,S_P low,med,15,48,24,,,,,
1,1,S_P low,med,,,,,,,,
1,1,S_P low,med,,,,,,,,
1,2,control,phyto,7,5,13,,,2,10,
1,3,A low,phyto,15,19,14,,,2,15,
1,4,S_s low,phyto,10,25,10,,,30,10,
1,5,control,phyto,6,18,16,,,10,10,
1,6,S_P high,phyto,10,44,19,,,5,5,
1,6,S_P high,big,13,50,,,,,,
1,6,S_P high,big,15,72,,,,,,
1,6,S_P high,med,11,22,,,,,,
1,6,S_P high,med,21,116,,,,,,
1,6,S_P high,med,6,5,,,,,,
1,6,S_P high,med,8,19,,,,,,
1,6,S_P high,med,12,23,,,,,,
1,6,S_P high,med,13,35,,,,,,
1,6,S_P high,med,12,31,,,,,,
1,6,S_P high,med,8,16,,,,,,
1,6,S_P high,med,8,25,,,,,,
1,6,S_P high,med,,,,,,,,
1,7,S_s high,phyto,6,5,15,,,70,5,
1,8,A high,phyto,10,9,11,,,40,20,
1,9,S_P high,big,12,44,13,,,15,10,
1,9,S_P high,big,14,37,,,,,,* no phytometer
1,9,S_P high,med,5,5,,,,,,
1,9,S_P high,med,8,23,,,,,,
1,9,S_P high,med,7,5,,,,,,
1,9,S_P high,med,4,2,,,,,,
1,9,S_P high,med,8,8,,,,,,
1,9,S_P high,med,13,2,,,,,,
1,9,S_P high,med,12,18,,,,,,
1,9,S_P high,med,8,7,,,,,,
1,9,S_P high,med,13,5,,,,,,
1,9,S_P high,med,,,,,,,,
1,10,S_P high,big,20,76,22,,,5,15,
1,10,S_P high,big,18,94,,,,,,* no phytometer
1,10,S_P high,med,6,5,,,,,,
1,10,S_P high,med,7,1,,,,,,
1,10,S_P high,med,7,8,,,,,,
1,10,S_P high,med,7,18,,,,,,
1,10,S_P high,med,4,1,,,,,,
1,10,S_P high,med,5,4,,,,,,
1,10,S_P high,med,9,33,,,,,,
1,10,S_P high,med,10,11,,,,,,
1,10,S_P high,med,10,55,,,,,,
1,10,S_P high,med,5,3,,,,,,
1,11,control,,,,,,,,,* no phytometer
