date,block,plot,bg,sp.type,sp.diam.1,sp.diam.2,sp.tillers,sp.seeds.per.tiller,notes
2024-04-29,1,1,S_P low,phyto,13,10,39,25,
2024-04-29,1,1,S_P low,big,22,29,73,65,
2024-04-29,1,1,S_P low,med,23,22,37,21,
2024-04-29,1,1,S_P low,med,15,10,19,13,
2024-04-29,1,1,S_P low,med,15,11,33,27,
2024-04-29,1,1,S_P low,med,,,,,
2024-04-29,1,1,S_P low,med,,,,,
2024-04-29,1,2,control,phyto,10,8,6,13,
2024-04-29,1,3,A low,phyto,28,24,56,38,
2024-04-29,1,4,S_s low,phyto,20,15,26,22,
2024-04-29,1,5,control,phyto,18,18,33,23,
2024-04-29,1,6,S_P high,phyto,10,9,20,66,
2024-04-29,1,6,S_P high,big,9,7,7,22,
2024-04-29,1,6,S_P high,big,13,11,25,57,
2024-04-29,1,6,S_P high,med,17,14,32,42,
2024-04-29,1,6,S_P high,med,14,11,22,15,
2024-04-29,1,6,S_P high,med,17,21,61,32,
2024-04-29,1,6,S_P high,med,17,18,29,39,
2024-04-29,1,6,S_P high,med,8,7,8,39,
2024-04-29,1,6,S_P high,med,7,9,6,21,
2024-04-29,1,6,S_P high,med,14,12,38,33,
2024-04-29,1,6,S_P high,med,9,10,7,22,
2024-04-29,1,6,S_P high,med,25,15,36,17,
2024-04-29,1,6,S_P high,med,14,12,25,15,
2024-04-29,1,7,S_s high,phyto,9,11,5,11,
2024-04-29,1,8,A high,phyto,22,17,22,21,
2024-04-29,1,9,S_P high,big,22,20,25,22,* no phytometer
2024-04-29,1,9,S_P high,big,27,20,37,38,
2024-04-29,1,9,S_P high,med,20,12,10,7,
2024-04-29,1,9,S_P high,med,12,10,6,17,
2024-04-29,1,9,S_P high,med,18,14,19,32,
2024-04-29,1,9,S_P high,med,10,13,14,16,
2024-04-29,1,9,S_P high,med,15,17,7,19,
2024-04-29,1,9,S_P high,med,15,12,9,54,
2024-04-29,1,9,S_P high,med,8,9,15,27,
2024-04-29,1,9,S_P high,med,20,20,13,33,
2024-04-29,1,9,S_P high,med,11,10,6,13,
2024-04-29,1,9,S_P high,med,,,,,Dead
2024-04-29,1,10,S_P high,big,26,26,36,16,* no phytometer
2024-04-29,1,10,S_P high,big,16,18,22,39,
2024-04-29,1,10,S_P high,med,12,8,7,12,
2024-04-29,1,10,S_P high,med,10,10,1,im,
2024-04-29,1,10,S_P high,med,6,5,2,19,
2024-04-29,1,10,S_P high,med,12,7,3,15,
2024-04-29,1,10,S_P high,med,6,7,5,16,
2024-04-29,1,10,S_P high,med,10,6,11,20,
2024-04-29,1,10,S_P high,med,13,12,3,17,
2024-04-29,1,10,S_P high,med,14,15,28,23,
2024-04-29,1,10,S_P high,med,15,12,27,29,
2024-04-29,1,10,S_P high,med,,,,,dead
